module,grade,color
Analysis 1,87,94ccfd
Programming 1A,83,94ccfd
Algebra 1A,70,94ccfd
Methods 1A,80,94ccfd
Prob & Stats 1A,82,94ccfd
Algebra 1B,80,63a5f1
Prob & Stats 1B,86,63a5f1
Methods 1B,83,63a5f1
Algebra 2A,88,4e9ae4
Analysis 2A,75,4e9ae4
ODEs,81,4e9ae4
Numerical Analysis,82,4e9ae4
Statistics 2A,92,4e9ae4
Algebra 2B,78,3e83d3
Analysis 2B,82,3e83d3
Modelling,70,3e83d3
VC + PDEs,98,3e83d3
Statistics 2B,80,3e83d3
